MOVIE_ID,TITLE,DATE_PREMIERE,GENRE
71,"Iure voluptatem voluptas deleniti ullam saepe fugit.",2010-01-14,HORROR
72,"Non eum laborum distinctio sed enim.",1967-11-14,CRIMINAL
73,"Nulla quaerat magni voluptate omnis officia.",2014-05-16,MUSICAL
74,"Eligendi ea sit doloribus id nam impedit.",2017-01-09,FAMILY
75,"Quae perferendis facere animi illo et odit quo.",1998-03-08,EROTIC
76,"Qui explicabo aspernatur.",2001-03-15,ANIMATION
77,"Quia harum non sequi vel ducimus.",2018-08-12,ANIMATION
78,"Quae deleniti enim repudiandae.",1950-01-14,PSYCHOLOGICAL
79,"Ullam amet est quia.",1979-08-11,WESTERN
80,"Adipisci quis impedit dolores.",1988-07-17,FAMILY
81,"Fugit facere impedit et natus magni quia.",2004-10-15,ACTION
82,"Quia qui libero incidunt reprehenderit magnam odit.",1979-09-21,GORE
83,"Tempora unde distinctio optio itaque.",1960-04-26,PSYCHOLOGICAL
84,"Est eaque illo ut quaerat reprehenderit tempore sunt.",1976-08-24,FANTASY
85,"Sit ex ut ipsa harum.",1979-04-12,CRIMINAL
86,"Autem laborum pariatur sit ex hic.",1981-09-18,EROTIC
87,"Nulla molestias nemo voluptatum.",1987-11-28,CATASTROPHIC
88,"Repellendus occaecati aut quod rem.",2014-03-22,EROTIC
89,"Nesciunt ut quam voluptatem repellendus explicabo.",2015-07-02,COMEDY
90,"Tempora necessitatibus dignissimos maxime.",2007-08-10,ACTION
91,"Et officiis aliquid commodi reiciendis hic.",1950-01-16,HORROR
92,"Culpa et voluptatum qui eos sed.",2003-09-22,ROMANTIC
93,"Similique aperiam quae temporibus.",2007-10-07,DRAMA
94,"Sit autem autem.",1964-01-09,ANIMATION
95,"Id qui molestiae vel in suscipit ipsum ut.",1996-09-05,HORROR
96,"Quod quo est.",2004-01-01,ANIMATION
97,"Rerum et enim.",1967-03-26,PSYCHOLOGICAL
98,"Voluptatem omnis asperiores.",1990-05-16,CATASTROPHIC
99,"Soluta quia sequi iusto.",2017-10-19,PSYCHOLOGICAL
100,"Voluptatum harum omnis.",1991-03-08,WESTERN
